Age,workclass,education,education-num,marital,occupation,relationship,sex,capital-gain,capital loss,hours-per-week,salary
31,Private,Some-college,10,Widowed,Exec-managerial,Unmarried,Female,0,0,,0
26,,Bachelors,13,,Prof-specialty,Not-in-family,Male,0,0,40,1
75,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Male,4931,0,3,0
29,Private,Masters,14,,Transport-moving,Own-child,Male,0,0,40,1
61,Private,HS-grad,,Married-civ-spouse,Exec-managerial,Husband,Male,0,,50,0
,Private,Some-college,10,Separated,Sales,Unmarried,Female,0,0,45,1
34,Private,Assoc-acdm,12,Never-married,Prof-specialty,,Male,0,0,40,1
42,Private,Some-college,,Divorced,,Own-child,Male,0,0,40,0
24,Private,11th,7,Never-married,Craft-repair,Not-in-family,Male,0,0,40,1
27,Federal-gov,HS-grad,9,Never-married,Craft-repair,Not-in-family,Male,0,1980,40,0
39,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,50,0
20,Private,HS-grad,,Never-married,Handlers-cleaners,Own-child,Male,0,0,40,1
51,Private,11th,7,Never-married,Other-service,Not-in-family,,0,0,40,0
68,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,0,30,1
28,Federal-gov,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Male,0,0,48,1
43,Private,HS-grad,9,Divorced,Tech-support,Not-in-family,Female,,0,40,0
35,,,,Married-spouse-absent,Craft-repair,Not-in-family,Male,0,0,,0
44,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,,0,0,40,0
,Private,,13,Never-married,Handlers-cleaners,Not-in-family,Male,0,0,,0
44,Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,Male,0,0,45,1
20,,HS-grad,9,Married-civ-spouse,Adm-clerical,Other-relative,Female,0,0,40,0
46,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,75,0
27,Self-emp-not-inc,Assoc-acdm,,Married-civ-spouse,Transport-moving,Husband,Male,7688,0,,0
,Private,Some-college,10,Never-married,Other-service,Not-in-family,Male,0,0,50,0
46,Private,Some-college,10,Divorced,Sales,Not-in-family,,0,0,50,0
26,Private,HS-grad,9,,Other-service,Not-in-family,Male,0,0,24,0
20,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Female,0,0,40,0
36,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Wife,Female,0,0,40,0
49,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,,40,1
32,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,3103,0,55,0
,,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,15024,0,50,1
49,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Male,,,40,0
36,Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,Male,0,0,45,0
22,Private,,10,Never-married,Other-service,Other-relative,Male,0,0,25,0
52,Federal-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Female,0,0,40,1
42,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,0
72,Private,HS-grad,9,Widowed,Other-service,Unmarried,Female,0,0,,0
30,Local-gov,,13,Separated,Prof-specialty,Not-in-family,,0,0,40,0
44,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,0
23,,Bachelors,13,Never-married,Sales,Not-in-family,Female,0,,45,0
22,Private,Some-college,10,Never-married,Sales,Own-child,Male,0,0,20,0
,Private,Bachelors,13,Separated,,Unmarried,Male,0,0,60,0
46,Private,HS-grad,9,Divorced,,Unmarried,Female,0,0,40,0
30,Private,Assoc-voc,11,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,0
64,Federal-gov,7th-8th,4,Widowed,Other-service,Unmarried,Female,0,0,30,0
31,Private,Some-college,10,Married-civ-spouse,Sales,Wife,Female,0,0,40,1
,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,Male,0,0,20,1
45,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Female,0,0,40,0
59,Private,HS-grad,9,Married-civ-spouse,,Husband,Male,0,1887,40,1
32,Private,HS-grad,9,Never-married,,Other-relative,Female,0,,40,0
43,,Bachelors,13,,Machine-op-inspct,,Male,,0,40,0
23,Private,Some-college,10,Never-married,,Not-in-family,Male,,0,45,1
49,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
32,Private,12th,8,Married-civ-spouse,Machine-op-inspct,Husband,,0,,40,0
49,Private,Assoc-voc,11,Never-married,Exec-managerial,Unmarried,Female,0,0,40,0
33,Private,Some-college,10,Divorced,Prof-specialty,Not-in-family,,0,0,40,0
28,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,Female,0,0,85,0
,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,40,0
41,Private,HS-grad,9,Never-married,Other-service,Own-child,Male,0,0,40,0
34,Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,,0
,,HS-grad,9,,,,Female,0,0,35,0
21,,Some-college,10,Never-married,Sales,Not-in-family,Female,,0,15,0
46,Private,9th,5,Married-civ-spouse,Other-service,Husband,Male,0,0,40,0
37,Private,1st-4th,2,Married-civ-spouse,,Husband,Male,0,0,40,0
41,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,56,1
44,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,Male,0,,50,0
30,Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,Male,0,0,40,0
54,,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Male,,0,40,0
35,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,,0
21,Private,Some-college,10,Never-married,Tech-support,,Female,0,0,25,0
35,Self-emp-not-inc,Masters,14,Married-civ-spouse,,Husband,Male,0,0,40,0
35,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,80,1
19,Private,Some-college,10,Never-married,Craft-repair,Own-child,Male,0,0,20,0
48,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,Female,,0,40,0
65,Self-emp-not-inc,Some-college,10,Widowed,Craft-repair,Not-in-family,Female,,0,35,0
40,Private,Bachelors,13,Separated,,Unmarried,Male,,,35,0
26,Private,,9,Never-married,Adm-clerical,Not-in-family,Female,0,0,40,0
45,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,,0,,1
26,Private,Some-college,10,Never-married,Craft-repair,,Male,0,0,40,1
32,Private,HS-grad,9,,,Husband,,0,0,40,0
35,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,Male,27828,,50,0
22,Self-emp-not-inc,,10,Never-married,Craft-repair,Not-in-family,Male,0,0,48,0
37,Private,Assoc-voc,11,Separated,Prof-specialty,Own-child,,0,0,38,0
25,Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,Male,0,0,40,1
46,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,,0,0,48,0
30,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Male,0,0,27,1
63,Private,Assoc-acdm,12,Divorced,Exec-managerial,Not-in-family,Male,0,0,40,0
51,Local-gov,HS-grad,,Married-civ-spouse,Protective-serv,Husband,Male,0,0,40,0
,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,16,0
36,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,50,0
28,Self-emp-inc,Some-college,10,Never-married,,Not-in-family,Male,0,0,50,0
41,Local-gov,Some-college,10,Married-civ-spouse,Sales,Husband,Male,0,0,40,0
,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,,0,0,40,0
22,Private,,,Never-married,Other-service,Unmarried,Female,0,0,30,0
34,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Male,15024,0,40,0
46,Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,0
28,Private,Some-college,10,Married-spouse-absent,,,Female,0,,40,0
36,Private,,9,Married-civ-spouse,,Husband,Male,0,0,52,0
18,Private,Some-college,10,Never-married,Sales,Own-child,Female,0,0,20,0
33,Local-gov,Masters,14,Married-civ-spouse,,Husband,Male,7688,0,50,1
51,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,7298,,60,0
56,,HS-grad,9,Married-civ-spouse,Exec-managerial,,Male,0,0,35,0
54,Private,HS-grad,9,Never-married,Adm-clerical,Unmarried,Female,0,0,40,1
29,,HS-grad,9,Never-married,Exec-managerial,Unmarried,Female,0,0,40,0
40,Private,Some-college,10,Divorced,Handlers-cleaners,Not-in-family,Female,0,0,84,0
53,Private,,14,,Exec-managerial,Husband,Male,15024,0,,0
22,,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Male,0,0,35,0
33,Private,HS-grad,9,Married-civ-spouse,,Husband,Male,0,0,40,1
28,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,Male,0,0,50,0
63,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,Female,,0,12,0
53,Federal-gov,Doctorate,16,Married-civ-spouse,,Husband,Male,15024,,60,0
37,,10th,6,Married-civ-spouse,Craft-repair,Husband,Male,,0,50,1
50,Federal-gov,Some-college,,Divorced,Exec-managerial,Unmarried,Male,0,0,40,0
22,Private,HS-grad,9,Never-married,Craft-repair,Own-child,Male,0,0,40,0
40,Federal-gov,Assoc-acdm,12,Never-married,Adm-clerical,,Female,0,0,40,0
22,Private,Bachelors,,Never-married,Prof-specialty,Not-in-family,Female,8614,0,,0
21,,Some-college,10,Never-married,Prof-specialty,Own-child,Male,0,0,40,0
25,Private,Assoc-acdm,12,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,,40,0
20,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,Female,0,,,0
43,Federal-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,0
29,Private,Assoc-voc,11,Never-married,Exec-managerial,Unmarried,Female,0,0,50,0
32,Private,Bachelors,,Married-civ-spouse,Sales,,Male,0,,40,0
42,Private,Masters,14,Married-civ-spouse,Sales,Husband,Male,,0,50,0
33,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,1
,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,40,1
29,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,38,1
29,Private,,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,0
20,Private,Some-college,,Never-married,Exec-managerial,Own-child,Female,0,0,20,1
35,Private,,6,Never-married,Adm-clerical,,Male,0,0,40,0
,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,,0,1902,50,0
33,,HS-grad,9,Never-married,Craft-repair,Not-in-family,Male,0,0,50,0
,Private,Some-college,,Married-civ-spouse,Exec-managerial,Husband,Male,0,1539,40,0
46,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,10,0
,Private,9th,5,Married-civ-spouse,Machine-op-inspct,Wife,Female,0,,40,0
17,Local-gov,11th,7,Never-married,Sales,Own-child,Male,0,0,20,0
35,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,1848,70,0
48,Self-emp-not-inc,Bachelors,13,,Exec-managerial,Not-in-family,,0,0,40,0
,Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,Female,0,0,40,1
20,,Some-college,10,Never-married,,,Female,0,0,40,0
27,Private,HS-grad,,Married-civ-spouse,Machine-op-inspct,Husband,Male,5013,0,46,0
64,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,20,0
53,Federal-gov,Some-college,10,,Craft-repair,Not-in-family,Male,0,,40,0
52,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Female,,0,40,0
29,Private,HS-grad,9,Married-civ-spouse,,Husband,Male,0,0,55,1
32,Self-emp-inc,HS-grad,,Married-civ-spouse,Craft-repair,Husband,Male,99999,0,40,0
48,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Female,,0,,0
30,,,10,Never-married,Craft-repair,Other-relative,Male,,0,40,0
34,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,Male,0,0,20,0
,Private,,9,Never-married,Prof-specialty,Not-in-family,Male,0,0,50,0
28,Private,11th,7,Never-married,Handlers-cleaners,Other-relative,Male,0,0,40,0
54,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Female,0,0,,1
24,Private,Some-college,10,Never-married,Sales,Own-child,Male,0,,40,1
25,Private,HS-grad,9,Never-married,Exec-managerial,Own-child,Female,0,0,40,0
25,Private,11th,7,Divorced,,Unmarried,Female,0,0,12,0
48,Local-gov,Some-college,10,Married-civ-spouse,,Wife,Female,5178,0,40,1
24,Private,Bachelors,13,Never-married,Sales,Own-child,Female,0,,40,0
31,Private,Some-college,10,,Sales,Husband,Male,0,0,50,0
47,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,,0,40,0
19,,,10,Never-married,Adm-clerical,Own-child,Female,0,0,25,0
52,Self-emp-inc,,,Married-civ-spouse,Sales,Husband,Male,15024,0,50,0
52,Private,HS-grad,,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,0
60,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,28,1
43,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,50,0
24,Private,Assoc-acdm,12,Divorced,Other-service,Own-child,Female,0,0,30,0
51,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Female,0,0,40,0
,,9th,5,Divorced,Craft-repair,Not-in-family,Male,0,0,40,0
21,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Female,,0,10,0
40,Self-emp-inc,,9,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,50,0
54,Private,Some-college,10,Widowed,Exec-managerial,Unmarried,Female,0,0,,0
35,Private,Bachelors,13,,Other-service,Other-relative,Male,0,0,50,0
52,Private,11th,7,Separated,Machine-op-inspct,Unmarried,Male,0,0,,0
53,Private,,9,Married-civ-spouse,Exec-managerial,Husband,Male,99999,,40,0
35,Private,HS-grad,9,Divorced,Craft-repair,Unmarried,Male,0,0,40,1
43,,Some-college,10,Divorced,Sales,,Female,0,880,42,0
29,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,1
29,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,65,1
27,Private,HS-grad,,Never-married,Other-service,Not-in-family,Female,0,0,40,0
58,Private,Bachelors,13,,Adm-clerical,Husband,Male,0,,40,1
64,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,,18,0
53,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,32,1
21,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Female,0,0,30,0
40,Self-emp-not-inc,Assoc-acdm,12,Divorced,Exec-managerial,Not-in-family,Male,0,0,30,0
52,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,0
38,Private,Assoc-voc,11,Never-married,Tech-support,Not-in-family,Male,,0,50,0
39,Private,,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,0
68,Private,,16,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,55,0
24,Private,HS-grad,9,,Sales,,,0,,38,0
40,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,50,0
43,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,,0,0,99,0
38,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Female,0,0,70,0
45,Private,HS-grad,9,,Sales,,,,0,40,0
,Private,,7,Never-married,Machine-op-inspct,Own-child,Male,0,0,55,0
57,Local-gov,Masters,14,Married-civ-spouse,,Husband,Male,0,0,50,0
49,,HS-grad,9,Separated,Other-service,Not-in-family,Female,0,,35,0
25,Private,Some-college,10,Never-married,Exec-managerial,Own-child,Female,0,,40,1
52,Federal-gov,Some-college,10,Divorced,Adm-clerical,Not-in-family,Male,0,0,40,0
56,Private,10th,6,Divorced,Craft-repair,Not-in-family,Male,0,0,56,0
,Self-emp-inc,Some-college,10,Never-married,Sales,Not-in-family,Male,0,,48,0
19,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,Female,0,0,40,0
25,Self-emp-inc,Bachelors,13,Never-married,Adm-clerical,Own-child,Female,0,0,40,0
25,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,30,0
21,Private,HS-grad,9,Never-married,Sales,Other-relative,Male,0,0,45,0
48,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
33,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,60,0
31,State-gov,HS-grad,9,Divorced,Protective-serv,Own-child,Male,0,0,40,0
26,Self-emp-not-inc,HS-grad,9,Divorced,Farming-fishing,Unmarried,,0,0,65,0
37,State-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Male,0,0,38,1
,,Some-college,10,,Other-service,Own-child,Male,0,0,20,1
49,Private,HS-grad,9,Widowed,Adm-clerical,Unmarried,,0,,20,0
49,Private,Masters,14,,Exec-managerial,Husband,Male,0,1977,40,0
51,Private,Some-college,,Married-civ-spouse,Prof-specialty,,Female,0,0,40,0
40,Private,Some-college,10,Married-civ-spouse,Sales,Husband,,0,0,40,0
24,Private,Assoc-voc,11,Never-married,Machine-op-inspct,Own-child,Female,0,0,40,0
18,Private,12th,8,Never-married,Sales,Own-child,Male,0,0,24,0
41,Private,,6,Married-civ-spouse,Transport-moving,,Male,0,0,40,0
46,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Male,0,1485,40,1
46,Private,HS-grad,,Married-civ-spouse,Adm-clerical,,Female,0,0,40,1
64,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,Male,0,0,,0
50,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,0
53,State-gov,Masters,14,,Prof-specialty,Husband,Male,,0,36,0
21,Private,HS-grad,9,,,Not-in-family,Male,,0,40,0
,State-gov,Some-college,10,Married-civ-spouse,Other-service,Husband,Male,0,0,,0
37,Private,Bachelors,,Divorced,,Unmarried,Female,7430,0,45,0
39,Federal-gov,Prof-school,15,Never-married,Prof-specialty,,Male,0,,,0
30,Private,Bachelors,13,,Sales,Husband,Male,,0,40,0
25,,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Male,0,1741,40,0
26,Private,Some-college,10,Never-married,Exec-managerial,Unmarried,Female,0,,40,0
43,Private,Bachelors,13,Never-married,Sales,Not-in-family,Male,0,0,50,0
59,Private,HS-grad,9,Widowed,Adm-clerical,Unmarried,Female,0,0,60,0
27,,HS-grad,9,Married-spouse-absent,,Unmarried,Female,0,,40,0
55,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,Male,,0,40,0
20,Private,Some-college,10,Never-married,Other-service,Own-child,Male,0,0,12,1
25,Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,Female,0,0,36,0
28,Private,Assoc-acdm,12,Separated,Other-service,,Male,0,0,40,0
29,Private,Bachelors,13,Never-married,Sales,Not-in-family,Male,0,0,50,1
60,Private,,7,Married-civ-spouse,,Husband,Male,0,0,40,0
37,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Female,15024,0,50,0
25,Private,11th,7,Divorced,Sales,Own-child,Female,0,0,40,0
27,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,60,0
50,State-gov,Bachelors,,Married-civ-spouse,Exec-managerial,Husband,Male,0,,40,0
41,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,Male,5013,0,70,1
46,Private,7th-8th,4,Married-civ-spouse,,Husband,Male,0,0,47,0
35,Private,Assoc-voc,11,Divorced,Other-service,Unmarried,Female,0,0,40,0
40,Private,HS-grad,9,Never-married,,Not-in-family,Male,0,,40,0
49,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,0
29,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,,0,0,50,0
43,Local-gov,Bachelors,13,Divorced,Prof-specialty,Unmarried,Female,0,625,40,1
,Private,Assoc-acdm,12,Never-married,Transport-moving,Not-in-family,Male,0,0,60,0
35,,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Male,0,0,60,0
,Private,Some-college,,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,0
25,Private,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,Male,0,0,40,1
20,Self-emp-inc,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Female,0,0,,0
24,Private,,13,Never-married,Exec-managerial,Not-in-family,Male,0,0,40,1
29,Private,Bachelors,13,Married-civ-spouse,,Other-relative,Male,0,0,30,0
21,Private,Some-college,10,Never-married,,Own-child,Male,0,0,40,0
,Federal-gov,Bachelors,13,Divorced,,Other-relative,Female,0,0,50,0
43,Federal-gov,HS-grad,9,Never-married,Adm-clerical,Own-child,Male,0,0,40,1
19,Private,HS-grad,9,Never-married,,Not-in-family,Female,,0,26,0
47,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,,0,,0
,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,,0,45,0
,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,Male,0,0,60,0
60,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,0
27,Private,Some-college,,Never-married,Adm-clerical,Not-in-family,Female,0,,40,1
57,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,35,0
56,,1st-4th,2,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,1
,Private,HS-grad,,,Exec-managerial,Not-in-family,Female,0,0,40,0
47,Private,7th-8th,4,Married-civ-spouse,,Wife,Female,0,0,35,0
19,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Male,0,0,30,0
28,Self-emp-not-inc,,8,Divorced,,Unmarried,Female,0,0,30,0
43,Private,10th,6,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,0
63,Local-gov,,,Divorced,Exec-managerial,Not-in-family,Female,0,0,,0
,Private,HS-grad,,Divorced,Handlers-cleaners,Own-child,Female,0,0,40,0
35,Self-emp-not-inc,HS-grad,9,Never-married,Machine-op-inspct,Own-child,,8614,0,40,0
20,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Female,,0,40,1
48,Private,10th,6,Married-civ-spouse,Sales,Husband,Male,0,0,70,0
,,Bachelors,13,,Prof-specialty,Not-in-family,Female,0,0,40,0
31,,Bachelors,13,Married-civ-spouse,Prof-specialty,,Male,0,0,40,0
20,,HS-grad,,Never-married,Sales,Own-child,,0,0,24,0
,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,50,0
41,Private,Assoc-voc,11,Married-civ-spouse,,Wife,Female,7688,0,44,0
33,Private,HS-grad,,Divorced,Adm-clerical,Other-relative,Female,0,0,40,0
,Private,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,40,0
34,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,60,0
22,Private,10th,6,Never-married,Craft-repair,Not-in-family,Male,0,0,30,1
50,Private,Assoc-acdm,12,Married-civ-spouse,,Wife,Female,0,0,40,0
,Self-emp-not-inc,,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,45,0
37,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,51,0
53,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Male,15024,0,55,0
38,Self-emp-not-inc,Some-college,10,,Machine-op-inspct,Husband,Male,7688,0,40,1
25,State-gov,HS-grad,9,Never-married,Prof-specialty,Not-in-family,Male,0,0,40,0
51,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,,40,0
18,Private,Some-college,10,Never-married,Other-service,Own-child,Male,0,0,16,1
41,,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Male,7688,0,40,0
33,Private,HS-grad,9,Never-married,Adm-clerical,Unmarried,Female,0,0,40,0
33,Private,Bachelors,13,Never-married,Sales,Not-in-family,Female,,0,40,0
67,State-gov,Some-college,10,Married-civ-spouse,,Husband,Male,0,0,40,1
47,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,2415,,1
24,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,Male,0,0,40,0
32,Local-gov,7th-8th,4,Married-civ-spouse,Other-service,Husband,Male,0,0,40,0
29,Private,HS-grad,9,Never-married,Other-service,Unmarried,Female,0,0,40,0
25,Private,Assoc-voc,11,Never-married,Sales,Not-in-family,Male,0,0,45,0
33,Private,Some-college,,Divorced,Adm-clerical,Not-in-family,Female,0,0,,1
55,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
31,Private,Some-college,10,Married-civ-spouse,Sales,,Male,0,0,,0
32,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,50,0
18,Private,HS-grad,9,Never-married,,Own-child,Male,34095,0,3,0
36,Private,HS-grad,9,Divorced,Adm-clerical,,Female,0,0,50,0
58,Private,HS-grad,,Widowed,Adm-clerical,Not-in-family,,0,0,27,0
,,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Male,0,1902,50,0
19,Private,11th,7,Never-married,Handlers-cleaners,,Male,,0,40,0
21,Private,HS-grad,9,,Adm-clerical,Unmarried,Female,,0,,0
36,Self-emp-inc,,9,Never-married,Farming-fishing,Not-in-family,Male,0,0,50,0
37,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Female,15024,0,40,0
43,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,Female,0,0,21,0
52,State-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Male,0,0,40,0
43,Private,Some-college,,Divorced,Prof-specialty,Unmarried,Female,0,0,38,0
22,Private,HS-grad,9,Never-married,Other-service,Own-child,Male,0,0,40,0
57,,5th-6th,3,Divorced,Transport-moving,Unmarried,Male,6497,0,40,0
37,Private,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,Female,,0,,0
39,Private,Some-college,10,Divorced,Sales,Unmarried,Female,0,0,38,0
54,Private,Some-college,10,Married-civ-spouse,Sales,Husband,Male,0,0,40,0
27,Private,Assoc-acdm,12,Never-married,Other-service,Not-in-family,Male,0,0,40,0
21,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Female,0,0,35,1
65,Private,Some-college,10,Separated,Adm-clerical,Not-in-family,Female,0,0,38,0
30,Private,Some-college,10,Married-civ-spouse,Other-service,Wife,Female,0,0,40,0
22,,9th,5,Never-married,Machine-op-inspct,Not-in-family,Female,0,0,40,0
26,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,4064,0,50,0
25,Private,,7,Separated,Craft-repair,Own-child,,,0,40,1
47,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,Male,,0,50,0
23,Private,,12,Never-married,,Own-child,Male,0,0,60,1
42,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,,0,40,0
39,Self-emp-not-inc,Some-college,10,Never-married,Craft-repair,Not-in-family,Male,0,0,,0
55,Private,Doctorate,16,,Exec-managerial,Husband,Male,0,0,60,0
